date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:51:34	2224/2224	---MCZ	200	added ('OK')	application/json	date:Mon,%2013%20Jun%202022%2011:51:34%20GMT	https://oscwebdesign.biz/wp-json/oembed/1.0/embed?url=https%3A%2F%2Foscwebdesign.biz%2F	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-json/oembed/1.0/embed5d73.json	(from https://oscwebdesign.biz/)
12:51:35	2282/2282	---M-Z	200	added ('OK')	text/xml	date:Mon,%2013%20Jun%202022%2011:51:35%20GMT	https://oscwebdesign.biz/wp-json/oembed/1.0/embed?url=https%3A%2F%2Foscwebdesign.biz%2F&format=xml	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-json/oembed/1.0/embedcb36	(from https://oscwebdesign.biz/)
12:51:36	102077/102077	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2013%20Jun%202022%2011:51:36%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/webdesign/connect.facebook.net/en_US/fbevents.js	(from https://oscwebdesign.biz/)
12:51:36	4286/4286	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225d9b202c-10be%22	https://oscwebdesign.biz/wp-content/uploads/2019/10/osc-fav.ico	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/uploads/2019/10/osc-fav.ico	(from https://oscwebdesign.biz/)
12:51:36	9919/9919	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225d8b697f-26bf%22	https://oscwebdesign.biz/wp-content/uploads/2019/09/logo.svg	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/uploads/2019/09/logo.svg	(from https://oscwebdesign.biz/)
12:51:37	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Jun%202022%2011:51:37%20GMT	https://oscwebdesign.biz/contact-us	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/contact-us	(from https://oscwebdesign.biz/)
12:51:37	4105/4105	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jun%202022%2011:51:37%20GMT	https://oscwebdesign.biz/cdn-cgi/l/email-protection	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/cdn-cgi/l/email-protection.html	(from https://oscwebdesign.biz/)
12:51:37	56570/56570	---M--	200	added ('OK')	image/webp	etag:%22608e1f83-dcfa%22	https://oscwebdesign.biz/wp-content/uploads/2021/05/lobster.webp	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/uploads/2021/05/lobster.webp	(from https://oscwebdesign.biz/)
12:51:38	21218/21218	---M--	200	added ('OK')	image/webp	etag:%22608e2010-52e2%22	https://oscwebdesign.biz/wp-content/uploads/2021/05/jb-gottstein-client.webp	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/uploads/2021/05/jb-gottstein-client.webp	(from https://oscwebdesign.biz/)
12:51:40	68454/68454	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jun%202022%2011:51:38%20GMT	https://oscwebdesign.biz/contact-us/	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/contact-us/index.html	(from https://oscwebdesign.biz/)
12:51:40	23154/23154	---M--	200	added ('OK')	image/webp	etag:%22608e205b-5a72%22	https://oscwebdesign.biz/wp-content/uploads/2021/05/robbie-foundation-client.webp	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/uploads/2021/05/robbie-foundation-client.webp	(from https://oscwebdesign.biz/)
12:51:40	53999/53999	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jun%202022%2011:51:39%20GMT	https://oscwebdesign.biz/industries/retail-ecommerce/	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/industries/retail-ecommerce/index.html	(from https://oscwebdesign.biz/)
